rank,numero,score,hotcold,cal,dp,exact,patt
67,5404,0.6577450980392157,0.36764705882352944,0.7000000000000001,0.12916666666666665,1.0,0.05
68,6894,0.6539705882352941,0.20588235294117646,0.6,0.1625,1.0,0.1
69,4936,0.6535294117647058,0.29411764705882354,0.6,0.05,1.0,0.1
70,7517,0.649656862745098,0.4852941176470588,0.6,0.041666666666666664,1.0,0.05
71,8578,0.6489705882352941,0.45588235294117646,0.6,0.07500000000000001,1.0,0.05
72,4892,0.6476470588235294,0.22058823529411764,0.6,0.11249999999999999,1.0,0.1
73,0191,0.6475490196078432,0.3235294117647059,0.7000000000000001,0.13333333333333333,1.0,0.05
74,8833,0.6471078431372549,0.4117647058823529,0.6,0.12083333333333333,1.0,0.05
75,9764,0.6463235294117647,0.23529411764705882,0.6,0.08750000000000001,1.0,0.1
76,1990,0.6449019607843137,0.35294117647058826,0.7,0.08333333333333333,1.0,0.05
77,0226,0.6433823529411765,0.3235294117647059,0.7000000000000001,0.11249999999999999,1.0,0.05
78,0997,0.6430882352941176,0.3823529411764706,0.7000000000000001,0.0375,1.0,0.05
79,3044,0.637843137254902,0.2647058823529412,0.7000000000000001,0.15833333333333335,1.0,0.05
80,2729,0.6358823529411765,0.3235294117647059,0.6,0.17500000000000002,1.0,0.05
81,9094,0.6335294117647059,0.29411764705882354,0.7000000000000001,0.09999999999999999,1.0,0.05
82,3811,0.6325490196078432,0.3235294117647059,0.6,0.15833333333333333,1.0,0.05
83,3112,0.6312254901960784,0.3382352941176471,0.6,0.13333333333333333,1.0,0.05
84,0166,0.628529411764706,0.29411764705882354,0.7000000000000001,0.07500000000000001,1.0,0.05
85,7292,0.6283823529411765,0.3235294117647059,0.6,0.1375,1.0,0.05
86,6112,0.6241666666666668,0.25,0.6,0.20833333333333337,1.0,0.05
87,2462,0.618970588235294,0.20588235294117646,0.6,0.2375,1.0,0.05
88,2127,0.6185294117647059,0.29411764705882354,0.6,0.12499999999999999,1.0,0.05
89,2427,0.6154901960784314,0.23529411764705882,0.6,0.18333333333333335,1.0,0.05
90,9995,0.6061764705882353,0.5147058823529412,0.6,0.0375,1.0,0.0
91,4277,0.6058333333333333,0.25,0.6,0.11666666666666667,1.0,0.05
92,7147,0.5988235294117648,0.23529411764705882,0.6,0.1,1.0,0.05
93,9118,0.5986764705882353,0.2647058823529412,0.6,0.0625,1.0,0.05
94,3753,0.5978104575163399,0.6323529411764706,0.6,0.1625,0.6777777777777778,0.05
95,6144,0.5902450980392158,0.11764705882352941,0.6,0.2041666666666667,1.0,0.05
96,1734,0.5813071895424836,0.29411764705882354,0.6,0.11666666666666667,0.7555555555555555,0.1
97,4427,0.5796078431372549,0.16176470588235295,0.6,0.09583333333333333,1.0,0.05
98,7877,0.5708823529411764,0.3235294117647059,0.6,0.1,1.0,0.0
99,4222,0.5509803921568628,0.22058823529411764,0.6,0.12916666666666665,1.0,0.0
100,0659,0.4822875816993464,0.5147058823529411,0.7000000000000001,0.09166666666666667,0.2722222222222222,0.1
