sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2208,baloto,20/07/2022,2+SB,$9.470.520,948,$9.99
2208,baloto,20/07/2022,0+SB,$60.448.500,10.605,$5.70
2207,baloto,16/07/2022,5+SB,$0,0,$0
2207,baloto,16/07/2022,5,$0,0,$0
2207,baloto,16/07/2022,4+SB,$6.300.565,5,$1.260.113
2207,baloto,16/07/2022,4,$6.891.222,78,$88.35
2207,baloto,16/07/2022,3+SB,$5.972.352,151,$39.55
2207,baloto,16/07/2022,3,$19.492.704,2.464,$7.91
2207,baloto,16/07/2022,2+SB,$15.567.184,1.784,$8.73
2207,baloto,16/07/2022,0+SB,$86.389.200,15.156,$5.70
2206,baloto,13/07/2022,5+SB,$0,0,$0
2206,baloto,13/07/2022,5,$26.329.273,1,$26.329.273
2206,baloto,13/07/2022,4+SB,$5.276.848,2,$2.638.424
2206,baloto,13/07/2022,4,$5.771.574,46,$125.47
2206,baloto,13/07/2022,3+SB,$5.002.036,116,$43.12
2206,baloto,13/07/2022,3,$16.325.550,1.566,$10.43
2206,baloto,13/07/2022,2+SB,$13.037.834,1.198,$10.88
2206,baloto,13/07/2022,0+SB,$81.014.100,14.213,$5.70
2205,baloto,09/07/2022,5+SB,$0,0,$0
2205,baloto,09/07/2022,5,$0,0,$0
2205,baloto,09/07/2022,4+SB,$5.965.872,3,$1.988.624
2205,baloto,09/07/2022,4,$6.525.180,45,$145.00
2205,baloto,09/07/2022,3+SB,$5.655.149,89,$63.54
2205,baloto,09/07/2022,3,$18.456.779,1.639,$11.26
2205,baloto,09/07/2022,2+SB,$14.740.704,1.296,$11.37
2205,baloto,09/07/2022,0+SB,$79.754.400,13.992,$5.70
2204,baloto,06/07/2022,5+SB,$0,0,$0
2204,baloto,06/07/2022,5,$0,0,$0
2204,baloto,06/07/2022,4+SB,$4.751.205,3,$1.583.735
2204,baloto,06/07/2022,4,$5.196.630,30,$173.22
2204,baloto,06/07/2022,3+SB,$4.503.737,107,$42.09
2204,baloto,06/07/2022,3,$14.698.530,1.386,$10.61
2204,baloto,06/07/2022,2+SB,$11.739.432,1.212,$9.69
2204,baloto,06/07/2022,0+SB,$61.873.500,10.855,$5.70
2203,baloto,02/07/2022,5+SB,$0,0,$0
2203,baloto,02/07/2022,5,$0,0,$0
2203,baloto,02/07/2022,4+SB,$5.699.625,3,$1.899.875
2203,baloto,02/07/2022,4,$6.233.976,38,$164.05
2203,baloto,02/07/2022,3+SB,$5.402.826,143,$37.78
2203,baloto,02/07/2022,3,$17.632.520,1.88,$9.38
2203,baloto,02/07/2022,2+SB,$14.082.516,1.692,$8.32
2203,baloto,02/07/2022,0+SB,$79.087.500,13.875,$5.70
2202,baloto,29/06/2022,5+SB,$0,0,$0
2202,baloto,29/06/2022,5,$0,0,$0
2202,baloto,29/06/2022,4+SB,$0,0,$0
2202,baloto,29/06/2022,4,$4.510.890,27,$167.07
2202,baloto,29/06/2022,3+SB,$3.909.416,56,$69.81
2202,baloto,29/06/2022,3,$12.759.648,1.124,$11.35
2202,baloto,29/06/2022,2+SB,$10.190.500,890,$11.45
2202,baloto,29/06/2022,0+SB,$52.468.500,9.205,$5.70
2201,baloto,25/06/2022,5+SB,$0,0,$0
2201,baloto,25/06/2022,5,$23.741.637,3,$7.913.879
2201,baloto,25/06/2022,4+SB,$4.758.240,4,$1.189.560
2201,baloto,25/06/2022,4,$5.204.328,38,$136.96
2201,baloto,25/06/2022,3+SB,$4.510.378,146,$30.89
2201,baloto,25/06/2022,3,$14.720.795,1.795,$8.20
2201,baloto,25/06/2022,2+SB,$11.757.200,1.3,$9.04
2201,baloto,25/06/2022,0+SB,$72.771.900,12.767,$5.70
2200,baloto,22/06/2022,5+SB,$0,0,$0
2200,baloto,22/06/2022,5,$0,0,$0
2200,baloto,22/06/2022,4+SB,$0,0,$0
2200,baloto,22/06/2022,4,$4.017.536,16,$251.10
2200,baloto,22/06/2022,3+SB,$3.481.884,63,$55.27
2200,baloto,22/06/2022,3,$11.363.640,843,$13.48
2200,baloto,22/06/2022,2+SB,$9.075.753,783,$11.59
2200,baloto,22/06/2022,0+SB,$59.604.900,10.457,$5.70
2199,baloto,18/06/2022,5+SB,$0,0,$0
2199,baloto,18/06/2022,5,$0,0,$0
2199,baloto,18/06/2022,4+SB,$4.338.016,1,$4.338.016
2199,baloto,18/06/2022,4,$4.744.718,38,$124.86
2199,baloto,18/06/2022,3+SB,$4.112.088,93,$44.22
2199,baloto,18/06/2022,3,$13.420.450,1.39,$9.66
2199,baloto,18/06/2022,2+SB,$10.718.766,1.062,$10.09
2199,baloto,18/06/2022,0+SB,$56.965.800,9.994,$5.70
2198,baloto,15/06/2022,5+SB,$0,0,$0
2198,baloto,15/06/2022,5,$0,0,$0
2198,baloto,15/06/2022,4+SB,$0,0,$0
2198,baloto,15/06/2022,4,$3.804.834,33,$115.30
2198,baloto,15/06/2022,3+SB,$3.297.552,48,$68.70
2198,baloto,15/06/2022,3,$10.761.825,1.065,$10.11
2198,baloto,15/06/2022,2+SB,$8.595.153,651,$13.20
2198,baloto,15/06/2022,0+SB,$38.395.200,6.736,$5.70
2197,baloto,11/06/2022,5+SB,$0,0,$0
2197,baloto,11/06/2022,5,$0,0,$0
2197,baloto,11/06/2022,4+SB,$3.873.416,1,$3.873.416
2197,baloto,11/06/2022,4,$4.236.540,30,$141.22
2197,baloto,11/06/2022,3+SB,$3.671.697,69,$53.21
2197,baloto,11/06/2022,3,$11.982.824,1.148,$10.44
2197,baloto,11/06/2022,2+SB,$9.570.232,812,$11.79
2197,baloto,11/06/2022,0+SB,$46.700.100,8.193,$5.70
2196,baloto,08/06/2022,5+SB,$0,0,$0
2196,baloto,08/06/2022,5,$0,0,$0
2196,baloto,08/06/2022,4+SB,$0,0,$0
2196,baloto,08/06/2022,4,$3.476.880,48,$72.44
2196,baloto,08/06/2022,3+SB,$3.013.290,90,$33.48
2196,baloto,08/06/2022,3,$9.834.852,1.308,$7.52
2196,baloto,08/06/2022,2+SB,$7.854.710,785,$10.01
2196,baloto,08/06/2022,0+SB,$42.214.200,7.406,$5.70
2195,baloto,04/06/2022,5+SB,$0,0,$0
2195,baloto,04/06/2022,5,$0,0,$0
2195,baloto,04/06/2022,4+SB,$0,0,$0
2195,baloto,04/06/2022,4,$3.330.101,23,$144.79
2195,baloto,04/06/2022,3+SB,$2.886.114,42,$68.72
2195,baloto,04/06/2022,3,$9.419.190,690,$13.65
